entity_id,canonical_name,normalized_name,entity_type
E_000047,calves,calves,ANATOMICAL_SITE
E_000048,capillary,capillary,ANATOMICAL_SITE
E_000049,cavity,cavity,ANATOMICAL_SITE
E_000050,cell membrane,cell membrane,ANATOMICAL_SITE
E_000051,central,central,ANATOMICAL_SITE
E_000052,central nervous system,central nervous system,ANATOMICAL_SITE
E_000053,centre,centre,ANATOMICAL_SITE
E_000054,centre of the cyst,centre of the cyst,ANATOMICAL_SITE
E_000055,centre of the gland,centre of the gland,ANATOMICAL_SITE
E_000056,centre of the shoulder-blade,centre of the shoulder-blade,ANATOMICAL_SITE
E_000057,centre of the vein,centre of the vein,ANATOMICAL_SITE
E_000058,cephalic or head space,cephalic or head space,ANATOMICAL_SITE
E_000059,cephalic space,cephalic space,ANATOMICAL_SITE
E_000060,certain regions of the body,certain regions of the body,ANATOMICAL_SITE
E_000061,cervical canal,cervical canal,ANATOMICAL_SITE
E_000062,cervical glands,cervical glands,ANATOMICAL_SITE
E_000063,chamber,chamber,ANATOMICAL_SITE
E_000064,chancre,chancre,ANATOMICAL_SITE
E_000065,chest,chest,ANATOMICAL_SITE
E_000066,chest wall,chest wall,ANATOMICAL_SITE
E_000067,Cilia,cilia,ANATOMICAL_SITE
E_000068,clot,clot,ANATOMICAL_SITE
E_000069,conjunctiva,conjunctiva,ANATOMICAL_SITE
E_000070,corner of the eye,corner of the eye,ANATOMICAL_SITE
E_000071,corner squares,corner squares,ANATOMICAL_SITE
E_000072,covered wound,covered wound,ANATOMICAL_SITE
E_000073,coverslip area,coverslip area,ANATOMICAL_SITE
E_000074,CSF,csf,ANATOMICAL_SITE
E_000075,cut,cut,ANATOMICAL_SITE
E_000076,cyst,cyst,ANATOMICAL_SITE
E_000077,cysts,cysts,ANATOMICAL_SITE
E_000078,cytoplasm,cytoplasm,ANATOMICAL_SITE
E_000079,cytostome,cytostome,ANATOMICAL_SITE
E_000080,different parts of the body,different parts of the body,ANATOMICAL_SITE
E_000081,digestive tract,digestive tract,ANATOMICAL_SITE
E_000082,ear,ear,ANATOMICAL_SITE
E_000083,ear and skin lesions,ear and skin lesions,ANATOMICAL_SITE
E_000084,ear lobe,ear lobe,ANATOMICAL_SITE
E_000085,ear or skin lesions,ear or skin lesions,ANATOMICAL_SITE
E_000086,ears,ears,ANATOMICAL_SITE
E_000087,edge of the ulcer,edge of the ulcer,ANATOMICAL_SITE
E_000088,edges,edges,ANATOMICAL_SITE
E_000089,edges of the cut,edges of the cut,ANATOMICAL_SITE
E_000090,elbow,elbow,ANATOMICAL_SITE
E_000091,enlarged cervical lymph nodes,enlarged cervical lymph nodes,ANATOMICAL_SITE
E_000092,excretory cell,excretory cell,ANATOMICAL_SITE
E_000093,excretory pore,excretory pore,ANATOMICAL_SITE
E_000094,extremity,extremity,ANATOMICAL_SITE
E_000095,eye,eye,ANATOMICAL_SITE
E_000096,eye(s),eye(s,ANATOMICAL_SITE
E_000097,eyelids,eyelids,ANATOMICAL_SITE
E_000098,eyes,eyes,ANATOMICAL_SITE
E_000099,face,face,ANATOMICAL_SITE
E_000100,faeces,faeces,ANATOMICAL_SITE
E_000101,felineus,felineus,ANATOMICAL_SITE
E_000102,fields,fields,ANATOMICAL_SITE
E_000103,Fig.,fig,ANATOMICAL_SITE
E_000104,finger,finger,ANATOMICAL_SITE
E_000105,first slit,first slit,ANATOMICAL_SITE
E_000106,Flagellum,flagellum,ANATOMICAL_SITE
E_000107,folds of skin,folds of skin,ANATOMICAL_SITE
E_000108,foot,foot,ANATOMICAL_SITE
E_000109,foot pads,foot pads,ANATOMICAL_SITE
E_000110,four corner squares,four corner squares,ANATOMICAL_SITE
E_000111,four squares,four squares,ANATOMICAL_SITE
E_000112,fourth and fifth lumbar vertebrae,fourth and fifth lumbar vertebrae,ANATOMICAL_SITE
E_000113,From each ear,from each ear,ANATOMICAL_SITE
E_000114,front end,front end,ANATOMICAL_SITE
E_000115,genital primordium,genital primordium,ANATOMICAL_SITE
E_000116,genital rudiment,genital rudiment,ANATOMICAL_SITE
E_000117,genitalia,genitalia,ANATOMICAL_SITE
E_000118,gland,gland,ANATOMICAL_SITE
E_000119,glands,glands,ANATOMICAL_SITE
E_000120,GR,gr,ANATOMICAL_SITE
E_000121,groin,groin,ANATOMICAL_SITE
E_000122,hairs,hairs,ANATOMICAL_SITE
E_000123,hands,hands,ANATOMICAL_SITE
E_000124,head,head,ANATOMICAL_SITE
E_000125,heart,heart,ANATOMICAL_SITE
E_000126,heel,heel,ANATOMICAL_SITE
E_000127,hidden point,hidden point,ANATOMICAL_SITE
E_000128,hips,hips,ANATOMICAL_SITE
E_000129,hooklets,hooklets,ANATOMICAL_SITE
E_000130,incision,incision,ANATOMICAL_SITE
E_000131,index finger,index finger,ANATOMICAL_SITE
E_000132,infected area,infected area,ANATOMICAL_SITE
E_000133,infected finger,infected finger,ANATOMICAL_SITE
E_000134,inner body,inner body,ANATOMICAL_SITE
E_000135,inoculation site,inoculation site,ANATOMICAL_SITE
E_000136,inside the cut,inside the cut,ANATOMICAL_SITE
E_000137,intestinalis,intestinalis,ANATOMICAL_SITE
E_000138,intestine,intestine,ANATOMICAL_SITE
E_000139,intestines,intestines,ANATOMICAL_SITE
E_000140,intravenously,intravenously,ANATOMICAL_SITE
E_000141,joint,joint,ANATOMICAL_SITE
E_000142,joint J2,joint j2,ANATOMICAL_SITE
E_000143,joints,joints,ANATOMICAL_SITE
E_000144,jugular vein,jugular vein,ANATOMICAL_SITE
E_000145,karyosome,karyosome,ANATOMICAL_SITE
E_000146,kidney tubules,kidney tubules,ANATOMICAL_SITE
E_000147,kidneys,kidneys,ANATOMICAL_SITE
E_000148,kinetoplast,kinetoplast,ANATOMICAL_SITE
E_000149,knees and ankles,knees and ankles,ANATOMICAL_SITE
E_000150,large oval head,large oval head,ANATOMICAL_SITE
E_000151,lateral,lateral,ANATOMICAL_SITE
E_000152,lateral pores,lateral pores,ANATOMICAL_SITE
E_000153,layer of skin,layer of skin,ANATOMICAL_SITE
E_000154,left arm,left arm,ANATOMICAL_SITE
E_000155,left ear,left ear,ANATOMICAL_SITE
E_000156,left eye,left eye,ANATOMICAL_SITE
E_000157,legs,legs,ANATOMICAL_SITE
E_000158,lepromatous lesions,lepromatous lesions,ANATOMICAL_SITE
E_000159,lesion,lesion,ANATOMICAL_SITE
E_000160,lids,lids,ANATOMICAL_SITE
E_000161,limb,limb,ANATOMICAL_SITE
E_000162,lining of the cavity,lining of the cavity,ANATOMICAL_SITE
E_000163,lips and tongue,lips and tongue,ANATOMICAL_SITE
E_000164,liver,liver,ANATOMICAL_SITE
E_000165,liver stages,liver stages,ANATOMICAL_SITE
E_000166,lobe,lobe,ANATOMICAL_SITE
E_000167,lobe of the ear,lobe of the ear,ANATOMICAL_SITE
E_000168,lungs,lungs,ANATOMICAL_SITE
E_000169,lymph gland,lymph gland,ANATOMICAL_SITE
E_000170,lymph glands,lymph glands,ANATOMICAL_SITE
E_000171,lymph node,lymph node,ANATOMICAL_SITE
E_000172,lymph nodes,lymph nodes,ANATOMICAL_SITE
E_000173,lymphatic circulation,lymphatic circulation,ANATOMICAL_SITE
E_000174,lymphatic system,lymphatic system,ANATOMICAL_SITE
E_000175,Madura foot,madura foot,ANATOMICAL_SITE
E_000176,malignant pustules,malignant pustules,ANATOMICAL_SITE
E_000177,mammilated outer coats,mammilated outer coats,ANATOMICAL_SITE
E_000178,Maurer’s clefts,maurer’s clefts,ANATOMICAL_SITE
E_000179,meatus,meatus,ANATOMICAL_SITE
E_000180,meninges,meninges,ANATOMICAL_SITE
E_000181,middle,middle,ANATOMICAL_SITE
E_000182,middle section,middle section,ANATOMICAL_SITE
E_000183,mouth,mouth,ANATOMICAL_SITE
E_000184,mouth opening,mouth opening,ANATOMICAL_SITE
E_000185,mouth parts,mouth parts,ANATOMICAL_SITE
E_000186,mouth-like cleft,mouth-like cleft,ANATOMICAL_SITE
E_000187,mucous membranes,mucous membranes,ANATOMICAL_SITE
E_000188,nails,nails,ANATOMICAL_SITE
E_000189,neck,neck,ANATOMICAL_SITE
E_000190,nodule,nodule,ANATOMICAL_SITE
E_000191,nodules,nodules,ANATOMICAL_SITE
E_000192,normal human eye,normal human eye,ANATOMICAL_SITE
E_000193,nose,nose,ANATOMICAL_SITE
E_000194,nuclei,nuclei,ANATOMICAL_SITE
E_000195,nucleoli,nucleoli,ANATOMICAL_SITE
E_000196,Nucleus,nucleus,ANATOMICAL_SITE
E_000197,oesophagus,oesophagus,ANATOMICAL_SITE
E_000198,one pole,one pole,ANATOMICAL_SITE
E_000199,opercula,opercula,ANATOMICAL_SITE
E_000200,operculum,operculum,ANATOMICAL_SITE
E_000201,oral or genital tract,oral or genital tract,ANATOMICAL_SITE
E_000202,organs,organs,ANATOMICAL_SITE
E_000203,origin,origin,ANATOMICAL_SITE
E_000204,other pole,other pole,ANATOMICAL_SITE
E_000205,outer part,outer part,ANATOMICAL_SITE
E_000206,over the ribs,over the ribs,ANATOMICAL_SITE
E_000207,patient’s finger,patient’s finger,ANATOMICAL_SITE
E_000208,patient’s organs,patient’s organs,ANATOMICAL_SITE
E_000209,penis,penis,ANATOMICAL_SITE
E_000210,pericardial,pericardial,ANATOMICAL_SITE
E_000211,peripheral blood,peripheral blood,ANATOMICAL_SITE
E_000212,peripheral nerve tissues,peripheral nerve tissues,ANATOMICAL_SITE
E_000213,periphery,periphery,ANATOMICAL_SITE
E_000214,peritoneal,peritoneal,ANATOMICAL_SITE
E_000215,pharynx,pharynx,ANATOMICAL_SITE
E_000216,pit,pit,ANATOMICAL_SITE
E_000217,Place 8,place 8,ANATOMICAL_SITE
E_000218,placenta,placenta,ANATOMICAL_SITE
E_000219,plasma column,plasma column,ANATOMICAL_SITE
E_000220,pleural,pleural,ANATOMICAL_SITE
E_000221,plugs,plugs,ANATOMICAL_SITE
E_000222,pole,pole,ANATOMICAL_SITE
E_000223,poles,poles,ANATOMICAL_SITE
E_000224,posterior end,posterior end,ANATOMICAL_SITE
E_000225,posterior extremity,posterior extremity,ANATOMICAL_SITE
E_000226,pseudopodia,pseudopodia,ANATOMICAL_SITE
E_000227,pseudopodium,pseudopodium,ANATOMICAL_SITE
E_000228,puncture,puncture,ANATOMICAL_SITE
E_000229,rectum,rectum,ANATOMICAL_SITE
E_000230,reticuloendothelial system,reticuloendothelial system,ANATOMICAL_SITE
E_000231,reticulum,reticulum,ANATOMICAL_SITE
E_000232,ribs,ribs,ANATOMICAL_SITE
E_000233,right ear,right ear,ANATOMICAL_SITE
E_000234,right eye,right eye,ANATOMICAL_SITE
E_000235,rod-shaped kinetoplast,rod-shaped kinetoplast,ANATOMICAL_SITE
E_000236,rounded crook,rounded crook,ANATOMICAL_SITE
E_000237,rounded end,rounded end,ANATOMICAL_SITE
E_000238,rounded pole,rounded pole,ANATOMICAL_SITE
E_000239,ruled area,ruled area,ANATOMICAL_SITE
E_000240,scalp,scalp,ANATOMICAL_SITE
E_000241,scolex,scolex,ANATOMICAL_SITE
E_000242,screw thread,screw thread,ANATOMICAL_SITE
E_000243,scrotum,scrotum,ANATOMICAL_SITE
E_000244,septum of the nose,septum of the nose,ANATOMICAL_SITE
E_000245,sheath,sheath,ANATOMICAL_SITE
E_000246,Shell,shell,ANATOMICAL_SITE
E_000247,shoulder blades,shoulder blades,ANATOMICAL_SITE
E_000248,shoulder-blades,shoulder-blades,ANATOMICAL_SITE
E_000249,sinus,sinus,ANATOMICAL_SITE
E_000250,sinuses,sinuses,ANATOMICAL_SITE
E_000251,site of inoculation,site of inoculation,ANATOMICAL_SITE
E_000252,six sites,six sites,ANATOMICAL_SITE
E_000253,skin,skin,ANATOMICAL_SITE
E_000254,skin and hair,skin and hair,ANATOMICAL_SITE
E_000255,skin area,skin area,ANATOMICAL_SITE
E_000256,skin lesion,skin lesion,ANATOMICAL_SITE
E_000257,skull,skull,ANATOMICAL_SITE
E_000258,spinal column,spinal column,ANATOMICAL_SITE
E_000259,spinal cord,spinal cord,ANATOMICAL_SITE
E_000260,spine,spine,ANATOMICAL_SITE
E_000261,spines,spines,ANATOMICAL_SITE
E_000262,spleen,spleen,ANATOMICAL_SITE
E_000263,Spot,spot,ANATOMICAL_SITE
E_000264,stretched skin,stretched skin,ANATOMICAL_SITE
E_000265,subarachnoid,subarachnoid,ANATOMICAL_SITE
E_000266,subcutaneous,subcutaneous,ANATOMICAL_SITE
E_000267,subcutaneously,subcutaneously,ANATOMICAL_SITE
E_000268,surface,surface,ANATOMICAL_SITE
E_000269,synovial joint,synovial joint,ANATOMICAL_SITE
E_000270,tail,tail,ANATOMICAL_SITE
E_000271,tapered end,tapered end,ANATOMICAL_SITE
E_000272,terminal,terminal,ANATOMICAL_SITE
E_000273,terminal spine,terminal spine,ANATOMICAL_SITE
E_000274,testis,testis,ANATOMICAL_SITE
E_000275,the back,the back,ANATOMICAL_SITE
E_000276,The chancre area,the chancre area,ANATOMICAL_SITE
E_000277,The face and body,the face and body,ANATOMICAL_SITE
E_000278,The genitals,the genitals,ANATOMICAL_SITE
E_000279,the heel,the heel,ANATOMICAL_SITE
E_000280,the kidney,the kidney,ANATOMICAL_SITE
E_000281,The thumb,the thumb,ANATOMICAL_SITE
E_000282,thick end,thick end,ANATOMICAL_SITE
E_000283,thin blood film,thin blood film,ANATOMICAL_SITE
E_000284,thin end,thin end,ANATOMICAL_SITE
E_000285,thin end of the film,thin end of the film,ANATOMICAL_SITE
E_000286,third finger,third finger,ANATOMICAL_SITE
E_000287,third or fourth finger,third or fourth finger,ANATOMICAL_SITE
E_000288,thumb,thumb,ANATOMICAL_SITE
E_000289,tibia,tibia,ANATOMICAL_SITE
E_000290,tip,tip,ANATOMICAL_SITE
E_000291,tip of the tail,tip of the tail,ANATOMICAL_SITE
E_000292,tissues,tissues,ANATOMICAL_SITE
E_000293,tissues and organs,tissues and organs,ANATOMICAL_SITE
E_000294,tive sites,tive sites,ANATOMICAL_SITE
E_000295,tongue,tongue,ANATOMICAL_SITE
E_000296,top,top,ANATOMICAL_SITE
E_000297,top of the buttocks,top of the buttocks,ANATOMICAL_SITE
E_000298,tow,tow,ANATOMICAL_SITE
E_000299,tuberculoid lesions,tuberculoid lesions,ANATOMICAL_SITE
E_000300,tubules of the kidney,tubules of the kidney,ANATOMICAL_SITE
E_000301,ulcers,ulcers,ANATOMICAL_SITE
E_000302,undulating membrane,undulating membrane,ANATOMICAL_SITE
E_000303,universal,universal,ANATOMICAL_SITE
E_000304,upper outer part,upper outer part,ANATOMICAL_SITE
E_000305,ureter,ureter,ANATOMICAL_SITE
E_000306,urethra,urethra,ANATOMICAL_SITE
E_000307,urethral opening,urethral opening,ANATOMICAL_SITE
E_000308,urinary,urinary,ANATOMICAL_SITE
E_000309,urinary tract,urinary tract,ANATOMICAL_SITE
E_000310,urine,urine,ANATOMICAL_SITE
E_000311,vacuole,vacuole,ANATOMICAL_SITE
E_000312,vein,vein,ANATOMICAL_SITE
E_000313,veins,veins,ANATOMICAL_SITE
E_000314,venous,venous,ANATOMICAL_SITE
E_000315,viscera,viscera,ANATOMICAL_SITE
E_000316,visibleB surfacespot,visibleb surfacespot,ANATOMICAL_SITE
E_000317,wall,wall,ANATOMICAL_SITE
E_000318,wall of the vein,wall of the vein,ANATOMICAL_SITE
E_000319,well 1,well 1,ANATOMICAL_SITE
E_000320,well 2,well 2,ANATOMICAL_SITE
E_000321,wound,wound,ANATOMICAL_SITE
E_000322,zone A,zone a,ANATOMICAL_SITE
E_000323,zone B,zone b,ANATOMICAL_SITE
E_000324,150 cells per mm3,150 cells per mm3,CELL
E_000325,agglutinated cells,agglutinated cells,CELL
E_000326,amastigotes,amastigotes,CELL
E_000327,amoebae,amoebae,CELL
E_000328,asexual blood stages,asexual blood stages,CELL
E_000329,atypical cells,atypical cells,CELL
E_000330,Atypical lymphocyte,atypical lymphocyte,CELL
E_000331,Atypical lymphocytes,atypical lymphocytes,CELL
E_000332,B-lymphocytes,b-lymphocytes,CELL
E_000333,band form,band form,CELL
E_000334,basophils,basophils,CELL
E_000335,blastomeres,blastomeres,CELL
E_000336,blood,blood,CELL
E_000337,blood cells,blood cells,CELL
E_000338,cancer cells,cancer cells,CELL
E_000339,cells of crystalline silicon,cells of crystalline silicon,CELL
E_000340,cellular debris,cellular debris,CELL
E_000341,Chromatin,chromatin,CELL
E_000342,Chromatoid bodies,chromatoid bodies,CELL
E_000343,ciliated embryo,ciliated embryo,CELL
E_000344,circulating erythrocytes,circulating erythrocytes,CELL
E_000345,cocci,cocci,CELL
E_000346,control erythrocytes,control erythrocytes,CELL
E_000347,crenated cells,crenated cells,CELL
E_000348,crenation cells,crenation cells,CELL
E_000349,cysts,cysts,CELL
E_000350,Cytoplasm,cytoplasm,CELL
E_000351,debris,debris,CELL
E_000352,degenerated cells,degenerated cells,CELL
E_000353,degenerated epithelial cells,degenerated epithelial cells,CELL
E_000354,diplococci,diplococci,CELL
E_000355,Elliptocytes,elliptocytes,CELL
E_000356,embryophores,embryophores,CELL
E_000357,eosinophils,eosinophils,CELL
E_000358,epithelial cells,epithelial cells,CELL
E_000359,erythrocytes,erythrocyte,CELL
E_000360,Excretory cell,excretory cell,CELL
E_000361,extracellular elements,extracellular elements,CELL
E_000362,filaments,filaments,CELL
E_000363,flagellates,flagellates,CELL
E_000364,flame cells,flame cells,CELL
E_000365,four small cells,four small cells,CELL
E_000366,Gametocyte,gametocyte,CELL
E_000367,gametocytes,gametocytes,CELL
E_000368,gonococci,gonococci,CELL
E_000369,Gram-positive cocci,gram-positive cocci,CELL
E_000370,granulocyte,granulocyte,CELL
E_000371,granulocytes,granulocytes,CELL
E_000372,green rods,green rods,CELL
E_000373,grey granular cells,grey granular cells,CELL
E_000374,Hypersegmented polymorphonuclear neutrophils,hypersegmented polymorphonuclear neutrophils,CELL
E_000375,immature cells,immature cells,CELL
E_000376,Immature granulocytes,immature granulocytes,CELL
E_000377,Immature polymorphonuclear granulocytes,immature polymorphonuclear granulocytes,CELL
E_000378,immature polymorphonuclear neutrophils,immature polymorphonuclear neutrophils,CELL
E_000379,indented cells,indented cells,CELL
E_000380,Intact cells,intact cells,CELL
E_000381,Intracellular gonococci,intracellular gonococci,CELL
E_000382,karyosomes,karyosomes,CELL
E_000383,large cells,large cells,CELL
E_000384,large central cell,large central cell,CELL
E_000385,large indistinct cells,large indistinct cells,CELL
E_000386,Large lymphocytes,large lymphocytes,CELL
E_000387,large round granular cell,large round granular cell,CELL
E_000388,leukocyte,leukocyte,CELL
E_000389,leukocytes,leukocytes,CELL
E_000390,Lymphoblasts,lymphoblasts,CELL
E_000391,lymphocytes,lymphocyte,CELL
E_000392,Lymphocytes and monocytes,lymphocytes and monocytes,CELL
E_000393,macrocytes,macrocytes,CELL
E_000394,macrophages,macrophages,CELL
E_000395,mass of cells,mass of cells,CELL
E_000396,mature reticulocytes,mature reticulocytes,CELL
E_000397,mature trophozoites,mature trophozoites,CELL
E_000398,Medium-sized oval cells,medium-sized oval cells,CELL
E_000399,Megakaryocyte,megakaryocyte,CELL
E_000400,megakaryocytes,megakaryocytes,CELL
E_000401,Merozoites,merozoites,CELL
E_000402,mesothelial cells,mesothelial cells,CELL
E_000403,Microcytes,microcytes,CELL
E_000404,monocytes,monocytes,CELL
E_000405,Mott cells,mott cells,CELL
E_000406,moving cells,moving cells,CELL
E_000407,mucosal cells,mucosal cells,CELL
E_000408,neutrophil,neutrophil,CELL
E_000409,neutrophils,neutrophils,CELL
E_000410,non-agglutinated cells,non-agglutinated cells,CELL
E_000411,Normal erythrocytes,normal erythrocytes,CELL
E_000412,Normal spermatozoa,normal spermatozoa,CELL
E_000413,normoblasts,normoblasts,CELL
E_000414,nucleated erythrocytes,nucleated erythrocytes,CELL
E_000415,nuclei,nuclei,CELL
E_000416,nucleus,nucleus,CELL
E_000417,one cell,one cell,CELL
E_000418,one clear cell,one clear cell,CELL
E_000419,oocysts,oocysts,CELL
E_000420,ova,ova,CELL
E_000421,oval budding spores,oval budding spores,CELL
E_000422,pale yellow epithelial cells,pale yellow epithelial cells,CELL
E_000423,panels with cells of amorphous silicon,panels with cells of amorphous silicon,CELL
E_000424,parasite eggs,parasite eggs,CELL
E_000425,phagocytic cells,phagocytic cells,CELL
E_000426,plasma,plasma,CELL
E_000427,Plasma cells,plasma cells,CELL
E_000428,platelets,platelets,CELL
E_000429,pneumococci,pneumococci,CELL
E_000430,Poikilocytes,poikilocytes,CELL
E_000431,Polymorphonuclear basophils,polymorphonuclear basophils,CELL
E_000432,Polymorphonuclear cells,polymorphonuclear cells,CELL
E_000433,Polymorphonuclear eosinophils,polymorphonuclear eosinophils,CELL
E_000434,polymorphonuclear leukocytes,polymorphonuclear leukocytes,CELL
E_000435,Polymorphonuclear neutrophils,polymorphonuclear neutrophils,CELL
E_000436,polymorphs,polymorphs,CELL
E_000437,pus,pus,CELL
E_000438,pus cells,pus cells,CELL
E_000439,R1 cell,r1 cell,CELL
E_000440,R2 cell,r2 cell,CELL
E_000441,R3 cell,r3 cell,CELL
E_000442,R4 cell,r4 cell,CELL
E_000443,rectal cells,rectal cells,CELL
E_000444,red cell,red cell,CELL
E_000445,red cell mass,red cell mass,CELL
E_000446,red cells,red cells,CELL
E_000447,Renal cells,renal cells,CELL
E_000448,renal pelvic cells,renal pelvic cells,CELL
E_000449,reticulocyte,reticulocyte,CELL
E_000450,reticulocytes,reticulocytes,CELL
E_000451,round cells,round cells,CELL
E_000452,round or slightly oval cells,round or slightly oval cells,CELL
E_000453,Schistocytes,schistocytes,CELL
E_000454,several cells,several cells,CELL
E_000455,sheep erythrocytes,sheep erythrocytes,CELL
E_000456,sickle cells,sickle cells,CELL
E_000457,Sickle-shaped erythrocytes,sickle-shaped erythrocytes,CELL
E_000458,siderophils,siderophils,CELL
E_000459,single cell,single cell,CELL
E_000460,small cells,small cells,CELL
E_000461,small grey granular cells,small grey granular cells,CELL
E_000462,Small lymphocytes,small lymphocytes,CELL
E_000463,small round granular cells,small round granular cells,CELL
E_000464,sperm,sperm,CELL
E_000465,spermatozoa,spermatozoa,CELL
E_000466,spherocytes,spherocytes,CELL
E_000467,squarish cells,squarish cells,CELL
E_000468,T-lymphocytes,t-lymphocytes,CELL
E_000469,target cells,target cells,CELL
E_000470,The cells,the cells,CELL
E_000471,The parent cells,the parent cells,CELL
E_000472,thrombocyte,thrombocyte,CELL
E_000473,thrombocytes,thrombocytes,CELL
E_000474,tissue cells,tissue cells,CELL
E_000475,trophozoite,trophozoite,CELL
E_000476,trophozoites,trophozoites,CELL
E_000477,Trypanosomes,trypanosomes,CELL
E_000478,unsensitized erythrocytes,unsensitized erythrocytes,CELL
E_000479,Ureteral and renal pelvic cells,ureteral and renal pelvic cells,CELL
E_000480,white blood cells,white blood cells,CELL
E_000481,white cells,white cells,CELL
E_000482,yeast cells,yeast cells,CELL
E_000483,young cysts,young cysts,CELL
E_000484,A pathogenic microfilaria,a pathogenic microfilaria,DISEASE
E_000485,a-thalassaemia,a-thalassaemia,DISEASE
E_000486,abdominal pain,abdominal pain,DISEASE
E_000487,acidosis,acidosis,DISEASE
E_000488,acute and chronic infections,acute and chronic infections,DISEASE
E_000489,acute cystitis,acute cystitis,DISEASE
E_000490,acute diarrhoea,acute diarrhoea,DISEASE
E_000491,acute glomerulonephritis,acute glomerulonephritis,DISEASE
E_000492,African trypanosomiasis,african trypanosomiasis,DISEASE
E_000493,AIDS,aids,DISEASE
E_000494,allergies,allergies,DISEASE
E_000495,anaemia,anaemia,DISEASE
E_000496,Ancylostoma duodenale,ancylostoma duodenale,DISEASE
E_000497,Anisocytosis,anisocytosis,DISEASE
E_000498,anthrax,anthrax,DISEASE
E_000499,Any disease,any disease,DISEASE
E_000500,appendicitis,appendicitis,DISEASE
E_000501,ascariasis,ascariasis,DISEASE
E_000502,autoimmune diseases,autoimmune diseases,DISEASE
E_000503,bacterial infection,bacterial infection,DISEASE
E_000504,bacterial infections,bacterial infections,DISEASE
E_000505,Bacterial meningitis,bacterial meningitis,DISEASE
E_000506,bacterial vaginosis,bacterial vaginosis,DISEASE
E_000507,bancroftian,bancroftian,DISEASE
E_000508,bancroftian filariasis,bancroftian filariasis,DISEASE
E_000509,brugian filariasis,brugian filariasis,DISEASE
E_000510,bubonic plague,bubonic plague,DISEASE
E_000511,burns,burns,DISEASE
E_000512,Calabar-like swellings,calabar-like swellings,DISEASE
E_000513,cancer,cancer,DISEASE
E_000514,cancers,cancers,DISEASE
E_000515,cardiac disease,cardiac disease,DISEASE
E_000516,cardiomyopathy,cardiomyopathy,DISEASE
E_000517,cerebral malaria,cerebral malaria,DISEASE
E_000518,certain cancers,certain cancers,DISEASE
E_000519,certain tumours,certain tumours,DISEASE
E_000520,Chagas disease,chagas disease,DISEASE
E_000521,chancre,chancre,DISEASE
E_000522,cholera,cholera,DISEASE
E_000523,chronic diarrhoea,chronic diarrhoea,DISEASE
E_000524,chronic diseases,chronic diseases,DISEASE
E_000525,chronic gonorrhoea,chronic gonorrhoea,DISEASE
E_000526,chronic granulomatous disease,chronic granulomatous disease,DISEASE
E_000527,Chronic infection,chronic infection,DISEASE
