relation_id,page_id,image_id,relation_type,pdf_page,printed_page,occurrence_index_on_page,xref,bbox_x0,bbox_y0,bbox_x1,bbox_y1,page_coverage
rel_page_image_000016,P_0030,img_000734,CONTAINS_IMAGE,30,18,1,99,137.699997,563.949951,299.917999,644.349976,0.0260331171
rel_page_image_000017,P_0030,img_000699,CONTAINS_IMAGE,30,18,2,100,356.450012,575.799988,524.473999,644.700012,0.0231079598
rel_page_image_000018,P_0030,img_000725,CONTAINS_IMAGE,30,18,3,101,56.700001,99.299973,230.199997,202.599976,0.0357742672
rel_page_image_000019,P_0030,img_000180,CONTAINS_IMAGE,30,18,4,102,56.700001,245.749985,230.916,350.299988,0.0363565806
rel_page_image_000020,P_0030,img_000485,CONTAINS_IMAGE,30,18,5,103,56.700001,384.800018,230.222,488.700012,0.0359866158
rel_page_image_000021,P_0031,img_000048,CONTAINS_IMAGE,31,19,1,107,62.040001,458.316406,421.06012,526.73999,0.0490337996
rel_page_image_000022,P_0031,img_000544,CONTAINS_IMAGE,31,19,2,0,-1899.060059,2108.659668,-1891.380005,2116.339844,0.0001177352
rel_page_image_000023,P_0031,img_000544,CONTAINS_IMAGE,31,19,3,0,-1899.060059,2108.659668,-1891.380005,2116.339844,0.0001177352
rel_page_image_000024,P_0031,img_000544,CONTAINS_IMAGE,31,19,4,0,-1899.060059,2108.659668,-1891.380005,2116.339844,0.0001177352
rel_page_image_000025,P_0031,img_000298,CONTAINS_IMAGE,31,19,5,108,333.100006,561.050049,538.791992,675.400024,0.0469487886
rel_page_image_000026,P_0032,img_000476,CONTAINS_IMAGE,32,20,1,115,56.700001,275.0,274.880005,404.25,0.0562880807
rel_page_image_000027,P_0032,img_000679,CONTAINS_IMAGE,32,20,2,116,71.199997,578.25,262.0,729.650024,0.0576600833
rel_page_image_000028,P_0032,img_000215,CONTAINS_IMAGE,32,20,3,117,319.537811,577.422485,526.527893,730.562378,0.0632716
rel_page_image_000029,P_0032,img_000027,CONTAINS_IMAGE,32,20,4,118,497.900299,712.850281,519.979187,729.532471,0.0007351927
rel_page_image_000030,P_0033,img_000091,CONTAINS_IMAGE,33,21,1,122,70.849998,345.199982,262.130005,496.549988,0.0577860439
rel_page_image_000031,P_0033,img_000346,CONTAINS_IMAGE,33,21,2,123,278.350006,345.199982,468.660004,495.299988,0.0570181676
rel_page_image_000032,P_0033,img_000083,CONTAINS_IMAGE,33,21,3,124,330.850006,99.299973,538.719971,257.349976,0.0655778529
rel_page_image_000033,P_0033,img_000738,CONTAINS_IMAGE,33,21,4,125,428.049988,572.299988,544.179993,742.799988,0.039522078
rel_page_image_000034,P_0034,img_000656,CONTAINS_IMAGE,34,22,1,129,82.550003,99.300003,279.580017,325.0,0.0887635952
rel_page_image_000035,P_0034,img_000161,CONTAINS_IMAGE,34,22,2,130,336.100006,150.549973,515.630005,324.849976,0.0624604869
rel_page_image_000036,P_0034,img_000028,CONTAINS_IMAGE,34,22,3,131,184.350006,359.25,520.150024,544.5,0.124168054
rel_page_image_000037,P_0034,img_000434,CONTAINS_IMAGE,34,22,4,132,56.700001,564.699951,208.599991,763.799927,0.0603670419
rel_page_image_000038,P_0035,img_000680,CONTAINS_IMAGE,35,23,1,136,70.849998,538.099976,289.991608,669.0,0.0572579133
rel_page_image_000039,P_0035,img_000365,CONTAINS_IMAGE,35,23,2,137,332.799988,544.849976,540.386597,668.0,0.0510275573
rel_page_image_000040,P_0035,img_000356,CONTAINS_IMAGE,35,23,3,138,319.899994,99.300079,538.758179,229.700073,0.0569654204
rel_page_image_000041,P_0036,img_000397,CONTAINS_IMAGE,36,24,1,142,75.849998,169.049988,250.317993,332.399994,0.0568860616
rel_page_image_000042,P_0036,img_000537,CONTAINS_IMAGE,36,24,2,143,57.099998,375.449982,250.320007,580.049988,0.0789093894
rel_page_image_000043,P_0036,img_000440,CONTAINS_IMAGE,36,24,3,144,101.599998,623.450012,250.410004,728.400024,0.0311735002
rel_page_image_000044,P_0038,img_000073,CONTAINS_IMAGE,38,26,1,151,184.300003,408.050018,423.350006,635.400024,0.1084812464
rel_page_image_000045,P_0040,img_000038,CONTAINS_IMAGE,40,28,1,158,184.350006,99.299988,411.410004,297.049988,0.089624772
rel_page_image_000046,P_0042,img_000348,CONTAINS_IMAGE,42,30,1,165,182.609497,537.113098,370.723877,739.185303,0.0758751421
rel_page_image_000047,P_0042,img_000659,CONTAINS_IMAGE,42,30,2,166,192.302902,695.47052,364.632019,739.330505,0.0150868331
rel_page_image_000048,P_0043,img_000155,CONTAINS_IMAGE,43,31,1,170,70.093498,444.767822,245.040588,611.73822,0.0583065236
rel_page_image_000049,P_0043,img_000107,CONTAINS_IMAGE,43,31,2,171,79.238197,550.599792,237.656311,610.479797,0.0189346642
rel_page_image_000050,P_0043,img_000220,CONTAINS_IMAGE,43,31,3,172,299.873413,444.048401,477.789215,610.768982,0.0592072215
rel_page_image_000051,P_0043,img_000256,CONTAINS_IMAGE,43,31,4,173,312.256409,548.856079,468.660828,611.872253,0.0196730636
rel_page_image_000052,P_0043,img_000398,CONTAINS_IMAGE,43,31,5,2190,337.350006,99.299973,538.719971,210.099976,0.0445354053
rel_page_image_000053,P_0046,img_000413,CONTAINS_IMAGE,46,34,1,183,56.700001,99.299927,517.400024,681.950012,0.5357929463
rel_page_image_000054,P_0047,img_000368,CONTAINS_IMAGE,47,35,1,187,103.849998,99.300049,506.283691,679.400024,0.4659809087
rel_page_image_000055,P_0051,img_000293,CONTAINS_IMAGE,51,39,1,200,70.849998,498.600006,260.679993,538.200012,0.0150048283
rel_page_image_000056,P_0051,img_000148,CONTAINS_IMAGE,51,39,2,201,70.849998,588.699951,231.395111,671.099976,0.0264055594
rel_page_image_000057,P_0051,img_000139,CONTAINS_IMAGE,51,39,3,202,288.0,572.599976,450.695801,670.849976,0.0319065499
rel_page_image_000058,P_0052,img_000623,CONTAINS_IMAGE,52,40,1,206,56.700001,99.300026,271.730011,223.400024,0.0532649832
rel_page_image_000059,P_0052,img_000536,CONTAINS_IMAGE,52,40,2,207,70.550003,289.099976,285.580017,416.799988,0.0548101467
rel_page_image_000060,P_0052,img_000562,CONTAINS_IMAGE,52,40,3,208,342.450012,289.099976,524.380005,414.549988,0.0455560386
rel_page_image_000061,P_0052,img_000043,CONTAINS_IMAGE,52,40,4,209,56.700001,471.099976,156.75,632.049988,0.0321424551
rel_page_image_000062,P_0053,img_000628,CONTAINS_IMAGE,53,41,1,213,68.599998,101.100021,263.720001,255.150024,0.0599976786
rel_page_image_000063,P_0053,img_000453,CONTAINS_IMAGE,53,41,2,214,316.049988,100.149994,410.849976,254.75,0.029254234
rel_page_image_000064,P_0053,img_000286,CONTAINS_IMAGE,53,41,3,215,70.849998,332.599976,274.14209,418.049988,0.0346739689
rel_page_image_000065,P_0053,img_000002,CONTAINS_IMAGE,53,41,4,216,330.799988,298.300018,535.061523,418.200012,0.0488851212
rel_page_image_000066,P_0053,img_000019,CONTAINS_IMAGE,53,41,5,217,320.350006,534.600037,538.75,666.900024,0.0576744377
rel_page_image_000067,P_0054,img_000737,CONTAINS_IMAGE,54,42,1,221,153.899994,163.900024,217.25,288.900024,0.0158062052
rel_page_image_000068,P_0054,img_000511,CONTAINS_IMAGE,54,42,2,222,56.700001,320.950012,217.25,519.150024,0.0635162614
rel_page_image_000069,P_0055,img_000599,CONTAINS_IMAGE,55,43,1,226,70.849998,98.100006,352.350006,404.950012,0.1724151761
rel_page_image_000070,P_0056,img_000539,CONTAINS_IMAGE,56,44,1,230,131.0,418.75,307.880005,531.450012,0.0397899733
rel_page_image_000071,P_0056,img_000120,CONTAINS_IMAGE,56,44,2,231,364.600006,411.100006,524.450012,531.25,0.0383360491
rel_page_image_000072,P_0056,img_000473,CONTAINS_IMAGE,56,44,3,232,86.199997,585.100037,277.26001,709.400024,0.0474036553
rel_page_image_000073,P_0056,img_000529,CONTAINS_IMAGE,56,44,4,233,333.700012,584.350037,523.040039,709.650024,0.0473548435
rel_page_image_000074,P_0059,img_000020,CONTAINS_IMAGE,59,47,1,243,325.649994,192.650009,538.780029,319.200012,0.0538366168
rel_page_image_000075,P_0065,img_000521,CONTAINS_IMAGE,65,53,1,262,311.0,359.100006,543.847717,728.25,0.1715717548
rel_page_image_000076,P_0066,img_000101,CONTAINS_IMAGE,66,54,1,266,184.350006,514.049988,425.529999,638.25,0.0597907304
rel_page_image_000077,P_0066,img_000695,CONTAINS_IMAGE,66,54,2,267,79.849998,610.049988,167.480103,765.599976,0.0272078517
rel_page_image_000078,P_0066,img_000394,CONTAINS_IMAGE,66,54,3,268,259.471588,99.827286,445.956177,250.97998,0.0562638937
rel_page_image_000079,P_0067,img_000543,CONTAINS_IMAGE,67,55,1,272,70.849998,465.299988,366.5,611.25,0.0861297058
rel_page_image_000080,P_0068,img_000650,CONTAINS_IMAGE,68,56,1,276,80.8283,99.384872,170.81839,288.764771,0.0340172737
rel_page_image_000081,P_0068,img_000124,CONTAINS_IMAGE,68,56,2,277,117.401398,144.420502,167.555893,286.635498,0.014237253
rel_page_image_000082,P_0068,img_000012,CONTAINS_IMAGE,68,56,3,278,184.350006,521.800049,373.230011,594.150024,0.0272769192
rel_page_image_000083,P_0068,img_000470,CONTAINS_IMAGE,68,56,4,279,53.2453,639.29834,169.29361,773.27417,0.03103389
rel_page_image_000084,P_0068,img_000685,CONTAINS_IMAGE,68,56,5,280,135.690598,765.22699,168.570602,773.266968,0.0005276643
rel_page_image_000085,P_0069,img_000446,CONTAINS_IMAGE,69,57,1,284,68.849998,93.430023,285.839996,211.590027,0.0511777459
rel_page_image_000086,P_0071,img_000516,CONTAINS_IMAGE,71,59,1,291,68.699997,334.299988,289.720001,466.349976,0.0582560308
rel_page_image_000087,P_0071,img_000200,CONTAINS_IMAGE,71,59,2,292,71.793404,573.894653,347.813293,772.614624,0.1094845494
rel_page_image_000088,P_0071,img_000483,CONTAINS_IMAGE,71,59,3,293,222.871704,756.391846,252.153809,773.611816,0.0010064811
rel_page_image_000089,P_0071,img_000305,CONTAINS_IMAGE,71,59,4,294,57.456402,99.478821,542.436401,313.088623,0.2067835322
rel_page_image_000090,P_0071,img_000585,CONTAINS_IMAGE,71,59,5,295,194.945801,282.833801,223.504608,300.294617,0.0009953493
rel_page_image_000091,P_0072,img_000641,CONTAINS_IMAGE,72,60,1,299,184.638199,287.142639,375.720001,522.027832,0.0895871894
rel_page_image_000092,P_0072,img_000675,CONTAINS_IMAGE,72,60,2,300,187.858093,464.46759,208.4935,482.2435,0.0007321765
rel_page_image_000093,P_0072,img_000208,CONTAINS_IMAGE,72,60,3,301,415.0,414.600006,524.450012,521.25,0.0232995532
rel_page_image_000094,P_0072,img_000291,CONTAINS_IMAGE,72,60,4,302,53.099998,501.799988,142.643005,591.0,0.0159429077
rel_page_image_000095,P_0072,img_000386,CONTAINS_IMAGE,72,60,5,303,53.099998,644.799988,142.643005,734.5,0.0160322737
rel_page_image_000096,P_0073,img_000575,CONTAINS_IMAGE,73,61,1,307,428.049988,242.600006,532.445068,346.450012,0.0216400123
rel_page_image_000097,P_0073,img_000330,CONTAINS_IMAGE,73,61,2,308,442.649994,99.300011,532.39801,189.450012,0.0161495914
rel_page_image_000098,P_0073,img_000058,CONTAINS_IMAGE,73,61,3,309,70.849998,522.099976,259.149994,765.799988,0.0915960622
rel_page_image_000099,P_0073,img_000591,CONTAINS_IMAGE,73,61,4,310,402.0,562.599976,544.979919,769.599976,0.0590767148
rel_page_image_000100,P_0074,img_000345,CONTAINS_IMAGE,74,62,1,314,45.900002,610.900024,167.600006,735.0,0.0301462456
rel_page_image_000101,P_0075,img_000361,CONTAINS_IMAGE,75,63,1,318,331.717896,97.964081,538.75238,281.554077,0.0758687006
rel_page_image_000102,P_0075,img_000487,CONTAINS_IMAGE,75,63,2,319,420.398102,275.959259,448.722809,280.95697,0.0002825579
rel_page_image_000103,P_0075,img_000185,CONTAINS_IMAGE,75,63,3,320,427.950012,317.100006,565.929993,455.700012,0.0381724708
rel_page_image_000104,P_0075,img_000249,CONTAINS_IMAGE,75,63,4,321,425.950012,491.099976,569.63031,633.349976,0.0407962681
rel_page_image_000105,P_0077,img_000709,CONTAINS_IMAGE,77,65,1,328,346.799988,99.300003,538.815979,290.5,0.0732818159
rel_page_image_000106,P_0079,img_000729,CONTAINS_IMAGE,79,67,1,335,70.849998,647.5,251.799988,757.200012,0.0396219806
rel_page_image_000107,P_0079,img_000032,CONTAINS_IMAGE,79,67,2,336,308.61969,641.141785,485.683472,759.012878,0.0416589186
rel_page_image_000108,P_0079,img_000721,CONTAINS_IMAGE,79,67,3,337,348.540314,628.119385,486.292603,753.620178,0.0345077178
rel_page_image_000109,P_0080,img_000170,CONTAINS_IMAGE,80,68,1,341,67.699997,99.300079,268.109985,234.200073,0.0539637642
rel_page_image_000110,P_0080,img_000164,CONTAINS_IMAGE,80,68,2,342,324.850006,109.499985,524.51001,224.049988,0.0456517177
rel_page_image_000111,P_0081,img_000287,CONTAINS_IMAGE,81,69,1,346,70.849998,99.300018,248.230011,275.150024,0.0622612752
rel_page_image_000112,P_0081,img_000100,CONTAINS_IMAGE,81,69,2,347,304.75,160.349991,473.01001,282.299988,0.0409575195
rel_page_image_000113,P_0081,img_000698,CONTAINS_IMAGE,81,69,3,348,396.850006,455.299988,538.690002,617.099976,0.0458087181
rel_page_image_000114,P_0081,img_000104,CONTAINS_IMAGE,81,69,4,349,409.350006,651.349976,538.719971,745.299988,0.0242605836
rel_page_image_000115,P_0082,img_000084,CONTAINS_IMAGE,82,70,1,353,26.25,99.299988,167.389999,274.799988,0.0494422441
rel_page_image_000116,P_0082,img_000480,CONTAINS_IMAGE,82,70,2,354,25.799999,336.0,122.5,481.100006,0.0280068878
rel_page_image_000117,P_0083,img_000263,CONTAINS_IMAGE,83,71,1,358,78.449997,328.349976,335.469971,423.649963,0.0488911962
rel_page_image_000118,P_0083,img_000077,CONTAINS_IMAGE,83,71,2,359,380.049988,334.799988,526.709961,422.649994,0.0257172389
rel_page_image_000119,P_0083,img_000722,CONTAINS_IMAGE,83,71,3,360,198.449997,99.300018,451.869995,290.650024,0.0967921879
rel_page_image_000120,P_0084,img_000436,CONTAINS_IMAGE,84,72,1,364,56.700001,277.599976,243.669998,387.649963,0.0410707717
rel_page_image_000121,P_0084,img_000280,CONTAINS_IMAGE,84,72,2,365,300.200012,261.600006,513.809998,389.75,0.0546400493
rel_page_image_000122,P_0084,img_000193,CONTAINS_IMAGE,84,72,3,366,57.299999,99.300072,240.400009,226.450073,0.0464703218
rel_page_image_000123,P_0085,img_000688,CONTAINS_IMAGE,85,73,1,370,503.25,330.299988,538.749878,453.349976,0.008719255
rel_page_image_000124,P_0085,img_000732,CONTAINS_IMAGE,85,73,2,371,410.149994,501.749969,538.809998,712.599976,0.0541487107
rel_page_image_000125,P_0086,img_000064,CONTAINS_IMAGE,86,74,1,375,57.299999,99.300018,250.020004,296.650024,0.0759162741
rel_page_image_000126,P_0086,img_000399,CONTAINS_IMAGE,86,74,2,376,412.957611,462.365204,474.957611,748.425293,0.0354013564
rel_page_image_000127,P_0086,img_000171,CONTAINS_IMAGE,86,74,3,377,467.220398,579.024963,473.700409,732.194275,0.001981155
rel_page_image_000128,P_0087,img_000430,CONTAINS_IMAGE,87,75,1,381,70.849998,230.849991,225.910004,358.549988,0.0395240667
rel_page_image_000129,P_0088,img_000743,CONTAINS_IMAGE,88,76,1,385,121.75,297.5,293.115997,463.950012,0.0569350134
rel_page_image_000130,P_0088,img_000119,CONTAINS_IMAGE,88,76,2,386,349.700012,289.050018,524.666016,463.700012,0.060994853
rel_page_image_000131,P_0088,img_000228,CONTAINS_IMAGE,88,76,3,387,55.361698,548.059875,143.358994,738.161682,0.0333907759
rel_page_image_000132,P_0089,img_000494,CONTAINS_IMAGE,89,77,1,391,428.541412,96.535187,553.541382,455.815186,0.0896424856
rel_page_image_000133,P_0089,img_000030,CONTAINS_IMAGE,89,77,2,392,427.753296,123.209976,449.113281,140.849976,0.0007520911
rel_page_image_000134,P_0089,img_000118,CONTAINS_IMAGE,89,77,3,393,279.149994,268.0,375.869995,403.549988,0.0261689754
rel_page_image_000135,P_0089,img_000288,CONTAINS_IMAGE,89,77,4,394,70.849998,240.450012,222.5,392.850006,0.0461315781
rel_page_image_000136,P_0090,img_000197,CONTAINS_IMAGE,90,78,1,398,142.300003,595.700012,332.400024,719.549988,0.0469947165
rel_page_image_000137,P_0090,img_000429,CONTAINS_IMAGE,90,78,2,399,389.200012,636.200012,513.26001,719.25,0.0205656426
rel_page_image_000138,P_0091,img_000454,CONTAINS_IMAGE,91,79,1,403,419.350006,559.25,542.466003,729.549988,0.0418504418
rel_page_image_000139,P_0092,img_000175,CONTAINS_IMAGE,92,80,1,407,56.700001,340.850006,140.199997,461.450012,0.0201004013
rel_page_image_000140,P_0093,img_000039,CONTAINS_IMAGE,93,81,1,411,379.950012,433.550018,538.117798,620.450012,0.0590062839
rel_page_image_000141,P_0094,img_000102,CONTAINS_IMAGE,94,82,1,415,56.700001,361.800018,189.902603,537.400024,0.0466883127
rel_page_image_000142,P_0098,img_000174,CONTAINS_IMAGE,98,86,1,428,56.700001,354.150085,223.759995,704.400085,0.116794273
rel_page_image_000143,P_0099,img_000594,CONTAINS_IMAGE,99,87,1,432,70.849998,99.300003,320.220001,273.25,0.0865843854
rel_page_image_000144,P_0099,img_000448,CONTAINS_IMAGE,99,87,2,433,391.899994,443.449982,538.780029,532.299988,0.026049007
rel_page_image_000145,P_0099,img_000063,CONTAINS_IMAGE,99,87,3,434,482.428406,575.676819,538.428406,735.026917,0.0178119433
rel_page_image_000146,P_0099,img_000534,CONTAINS_IMAGE,99,87,4,435,532.762878,693.027527,537.562866,716.606018,0.0002259056
rel_page_image_000147,P_0101,img_000096,CONTAINS_IMAGE,101,89,1,442,428.25,99.299973,540.34198,183.599976,0.018861363
rel_page_image_000148,P_0101,img_000555,CONTAINS_IMAGE,101,89,2,443,428.049988,235.399994,547.817993,440.149994,0.048948081
rel_page_image_000149,P_0102,img_000560,CONTAINS_IMAGE,102,90,1,447,184.350006,561.649963,279.860016,752.099976,0.0363078755
rel_page_image_000150,P_0102,img_000604,CONTAINS_IMAGE,102,90,2,448,391.299988,558.75,488.509979,748.450012,0.0368085921
rel_page_image_000151,P_0102,img_000550,CONTAINS_IMAGE,102,90,3,449,56.700001,129.949997,244.369995,250.75,0.0452514739
rel_page_image_000152,P_0103,img_000728,CONTAINS_IMAGE,103,91,1,453,390.5,244.099991,538.780029,443.399994,0.0589876251
rel_page_image_000153,P_0105,img_000203,CONTAINS_IMAGE,105,93,1,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000154,P_0105,img_000203,CONTAINS_IMAGE,105,93,2,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000155,P_0105,img_000203,CONTAINS_IMAGE,105,93,3,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000156,P_0105,img_000203,CONTAINS_IMAGE,105,93,4,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000157,P_0105,img_000203,CONTAINS_IMAGE,105,93,5,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000158,P_0105,img_000203,CONTAINS_IMAGE,105,93,6,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000159,P_0105,img_000203,CONTAINS_IMAGE,105,93,7,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000160,P_0105,img_000203,CONTAINS_IMAGE,105,93,8,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000161,P_0105,img_000203,CONTAINS_IMAGE,105,93,9,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000162,P_0105,img_000203,CONTAINS_IMAGE,105,93,10,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000163,P_0105,img_000203,CONTAINS_IMAGE,105,93,11,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000164,P_0105,img_000203,CONTAINS_IMAGE,105,93,12,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000165,P_0105,img_000203,CONTAINS_IMAGE,105,93,13,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000166,P_0105,img_000203,CONTAINS_IMAGE,105,93,14,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000167,P_0105,img_000203,CONTAINS_IMAGE,105,93,15,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000168,P_0105,img_000203,CONTAINS_IMAGE,105,93,16,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000169,P_0105,img_000203,CONTAINS_IMAGE,105,93,17,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000170,P_0105,img_000203,CONTAINS_IMAGE,105,93,18,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000171,P_0105,img_000203,CONTAINS_IMAGE,105,93,19,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000172,P_0105,img_000203,CONTAINS_IMAGE,105,93,20,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000173,P_0105,img_000203,CONTAINS_IMAGE,105,93,21,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000174,P_0105,img_000203,CONTAINS_IMAGE,105,93,22,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000175,P_0105,img_000203,CONTAINS_IMAGE,105,93,23,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000176,P_0105,img_000203,CONTAINS_IMAGE,105,93,24,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000177,P_0105,img_000203,CONTAINS_IMAGE,105,93,25,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000178,P_0105,img_000203,CONTAINS_IMAGE,105,93,26,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000179,P_0105,img_000203,CONTAINS_IMAGE,105,93,27,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000180,P_0105,img_000203,CONTAINS_IMAGE,105,93,28,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000181,P_0105,img_000203,CONTAINS_IMAGE,105,93,29,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000182,P_0105,img_000203,CONTAINS_IMAGE,105,93,30,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000183,P_0105,img_000203,CONTAINS_IMAGE,105,93,31,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000184,P_0105,img_000203,CONTAINS_IMAGE,105,93,32,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000185,P_0105,img_000203,CONTAINS_IMAGE,105,93,33,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000186,P_0105,img_000203,CONTAINS_IMAGE,105,93,34,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000187,P_0105,img_000203,CONTAINS_IMAGE,105,93,35,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000188,P_0105,img_000203,CONTAINS_IMAGE,105,93,36,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000189,P_0105,img_000203,CONTAINS_IMAGE,105,93,37,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000190,P_0105,img_000203,CONTAINS_IMAGE,105,93,38,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000191,P_0105,img_000203,CONTAINS_IMAGE,105,93,39,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000192,P_0105,img_000203,CONTAINS_IMAGE,105,93,40,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000193,P_0105,img_000203,CONTAINS_IMAGE,105,93,41,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000194,P_0105,img_000203,CONTAINS_IMAGE,105,93,42,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000195,P_0105,img_000203,CONTAINS_IMAGE,105,93,43,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000196,P_0105,img_000203,CONTAINS_IMAGE,105,93,44,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000197,P_0105,img_000203,CONTAINS_IMAGE,105,93,45,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000198,P_0105,img_000203,CONTAINS_IMAGE,105,93,46,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000199,P_0105,img_000203,CONTAINS_IMAGE,105,93,47,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
rel_page_image_000200,P_0105,img_000203,CONTAINS_IMAGE,105,93,48,0,-1647.660034,2243.300049,-1639.97998,2250.02002,0.0001030155
